cid	smiles	pchembl	n_records	types	heavy	verdict	max_tc	nearest_active	in_domain
CHEMBL106	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	6.905	8	IC50|Kd	22	near-known	1.0	fluconazole	True
CHEMBL638	C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F	6.485	2	IC50|Kd	25	near-known	1.0	voriconazole	True
CHEMBL1397	CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O	7.09	1	Kd	51	out-of-domain	1.0	posaconazole	False
CHEMBL157101	CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	6.89	1	IC50	36	near-known	1.0	ketoconazole	True
CHEMBL1236677	O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccccc3)o2)cc1	6.57	2	IC50|Kd	35	in-envelope-novel	0.416	fenticonazole	True
CHEMBL4126063	O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3cc(F)cc(-c4ncncc4F)c3)o2)cc1	7.02	1	Kd	43	in-envelope-novel	0.337	miconazole	True
CHEMBL4127493	O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)c(F)c3)o2)cc1	7.89	1	Kd	40	in-envelope-novel	0.362	miconazole	True
CHEMBL4128615	O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3cc(F)cc(-c4ccccn4)c3)o2)cc1	7.6	1	Kd	42	in-envelope-novel	0.345	miconazole	True
CHEMBL4128885	O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(OCC(F)(F)F)cc3F)o2)cc1	8.0	1	Kd	42	in-envelope-novel	0.345	miconazole	True
CHEMBL4129161	O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(F)c(F)c3)o2)cc1	7.89	1	Kd	37	in-envelope-novel	0.392	miconazole	True
CHEMBL4757634	CC(NC(=O)c1cccc2ccccc12)C(=O)NC(Cn1ccnc1)C(=O)c1ccccc1	6.27	1	IC50	33	in-envelope-novel	0.26	butoconazole	True
CHEMBL4764357	O=C(NC(Cn1ccnc1)C(=O)NCc1ccncc1)c1ccc2ccccc2c1	5.94	1	IC50	30	in-envelope-novel	0.272	fenticonazole	True
CHEMBL5088292	O=C(/C=C/c1cccc2ccccc12)NC(Cn1cncn1)c1ccccc1	6.68	1	IC50	28	in-envelope-novel	0.25	fluconazole	True
CHEMBL5094280	O=C(/C=C/c1ccc2ccccc2c1)NC(Cn1cncn1)C(=O)c1ccccc1	6.49	1	IC50	30	in-envelope-novel	0.243	fluconazole	True
CHEMBL5180750	O=C(N[C@H](Cc1ccccc1)Cn1cncn1)c1ccc2c(c1)OCCO2	6.45	1	IC50	27	in-envelope-novel	0.243	fluconazole	True
