cid	smiles	pchembl	n_records	types	heavy	verdict	max_tc	nearest_active	in_domain
CHEMBL22	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	4.455	6	IC50	21	in-envelope-novel	0.137	voriconazole	True
CHEMBL36	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	5.3	1	IC50	17	in-envelope-novel	0.161	miconazole	True
CHEMBL91	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1	5.6	4	IC50	25	near-known	1.0	miconazole	True
CHEMBL106	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	6.14	18	IC50	22	near-known	1.0	fluconazole	True
CHEMBL119	COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC	8.06	2	IC50|Ki	27	in-envelope-novel	0.117	miconazole	True
CHEMBL130	O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	4.65	1	IC50	20	out-of-scope	0.102	bifonazole	False
CHEMBL140	COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O	4.625	2	IC50	27	out-of-scope	0.112	ketoconazole	False
CHEMBL413	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	6.29	1	IC50	65	out-of-scope	0.117	posaconazole	False
CHEMBL496	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl	5.29	1	IC50	21	out-of-scope	0.14	oxiconazole	False
CHEMBL497	Oc1c(I)cc(Cl)c2cccnc12	5.58	1	IC50	13	in-envelope-novel	0.173	clotrimazole	True
CHEMBL626	CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12	6.5	1	IC50	22	out-of-scope	0.125	bifonazole	False
CHEMBL638	C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F	7.43	1	IC50	25	near-known	1.0	voriconazole	True
CHEMBL790	N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1	4.66	1	IC50	34	out-of-scope	0.177	butoconazole	False
CHEMBL822	CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12	5.125	8	IC50	22	out-of-scope	0.107	sertaconazole	False
CHEMBL866	COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2	5.1	1	IC50	23	out-of-scope	0.096	ketoconazole	False
CHEMBL1463	Nc1nc(=O)[nH]cc1F	6.275	2	IC50	9	in-envelope-novel	0.118	fluconazole	True
CHEMBL6227	Cc1nccn1CCCCc1ccc(CC(=O)N[C@H](CO)Cc2ccc(OCCC3CCCCC3)c(CCCCN)c2)cc1	4.31	1	EC50	44	in-envelope-novel	0.143	ketoconazole	True
