name	mw	clogp	hbd	hba	tpsa	rotatable_bonds	aromatic_rings	esol_logs	ro5_violations	veber_ok	n_pains	n_alerts	herg_risk_factors	flags
flutrimazole	346.4	5.0	0	1	17.8	4	4	-5.53	1	True	0	1	False	alert
verinurad	348.4	4.73	1	4	74.0	4	3	-5.19	0	True	0	0	False	clean
vatalanib	346.8	5.01	1	4	50.7	4	4	-5.54	1	True	0	0	True	hERG?
flucloxacillin	453.9	2.69	2	6	112.7	4	2	-4.35	0	True	0	1	False	alert
taranabant	516.0	6.31	1	4	75.0	8	3	-6.86	2	True	0	0	False	Ro5x2,insoluble
lersivirine	310.4	2.54	1	5	94.9	6	2	-3.32	0	True	0	0	False	clean
LDN-27219	408.5	3.2	2	6	90.0	5	4	-4.61	0	True	0	3	False	alert
R-1479	284.2	-1.93	4	8	179.6	3	1	-0.41	0	False	1	4	False	Veber,PAINS,alert
ravuconazole	437.5	4.24	1	6	87.6	6	4	-5.35	0	True	0	0	False	clean
L-838417	399.4	3.07	0	6	83.0	4	4	-4.5	0	True	0	0	False	clean
olprinone	250.3	1.87	1	3	73.9	1	3	-3.09	0	True	0	0	False	clean
nolatrexed	284.3	2.36	2	5	84.7	2	3	-3.55	0	True	0	0	False	clean
letrozole	285.3	2.66	0	4	78.3	3	3	-3.66	0	True	0	0	False	clean
fluconazole	306.3	0.74	1	5	81.6	5	3	-2.41	0	True	0	0	False	clean
voriconazole	349.3	2.18	1	5	76.7	5	3	-3.55	0	True	0	0	False	clean
ketoconazole	531.4	4.21	0	6	69.1	7	3	-5.67	1	True	1	0	True	PAINS,hERG?
