name	sa_score	sa_band	availability	pubchem_cid
flutrimazole	2.71	easy	catalogued-drug	None
verinurad	2.61	easy	catalogued-drug	None
vatalanib	2.12	easy	catalogued-drug	None
flucloxacillin	3.67	moderate	catalogued-drug	None
taranabant	3.43	easy	catalogued-drug	None
lersivirine	2.85	easy	catalogued-drug	None
LDN-27219	2.22	easy	catalogued-drug	None
R-1479	4.46	moderate	catalogued-drug	None
ravuconazole	3.48	easy	catalogued-drug	None
L-838417	2.9	easy	catalogued-drug	None
olprinone	2.72	easy	catalogued-drug	None
nolatrexed	2.68	easy	catalogued-drug	None
letrozole	2.38	easy	catalogued-drug	None
fluconazole	2.77	easy	catalogued-drug	None
voriconazole	3.59	moderate	catalogued-drug	None
ketoconazole	3.44	easy	catalogued-drug	None
