name	verdict	chembl_id	pubchem_cid	phenotypic	n_off_target	n_records	near_id	near_sim	near_verdict
flutrimazole	no-precedent	CHEMBL2107430	3401	—	231	231	—	—	—
verinurad	no-precedent	CHEMBL3707347	54767229	—	79	79	—	—	—
vatalanib	no-precedent	CHEMBL101253	151194	—	3886	3886	—	—	—
flucloxacillin	no-precedent	CHEMBL222645	21319	tested-active	387	388	—	—	—
taranabant	no-precedent	CHEMBL220360	11226090	—	282	282	—	—	—
lersivirine	no-precedent	CHEMBL571987	16739244	—	475	475	—	—	—
LDN-27219	no-precedent	CHEMBL179945	1150683	—	91	91	—	—	—
R-1479	no-precedent	CHEMBL393857	457388	—	150	150	—	—	—
ravuconazole	record-inconclusive	CHEMBL294029	467825	tested-active	193	676	—	—	—
L-838417	no-precedent	CHEMBL373250	9908880	—	1153	1153	—	—	—
MRK-016	no-precedent	CHEMBL363211	6918583	tested-active	319	321	—	—	—
epacadostat	no-precedent	CHEMBL3545369	135564890	tested-inactive	1136	1137	—	—	—
olprinone	no-precedent	CHEMBL1474900	4593	—	417	417	—	—	—
nolatrexed	no-precedent	CHEMBL320775	108189	—	28	28	—	—	—
tazobactam	no-precedent	CHEMBL404	123630	tested-active	1413	1652	—	—	—
TC-S-7006	no-precedent	CHEMBL200381	9549300	tested-active	1126	1127	—	—	—
SD-0006	no-precedent	CHEMBL1090173	9865587	—	308	308	—	—	—
GDC-0879	no-precedent	CHEMBL525191	11717001	tested-inactive	1021	1022	—	—	—
apatinib	no-precedent	CHEMBL3186534	11315474	—	1040	1040	—	—	—
nerbacadol	no-precedent	CHEMBL2104808	65865	—	0	0	—	—	—
CYM-5520	no-precedent	—	25110470	—	72	72	—	—	—
fosfluconazole	no-precedent	CHEMBL1908301	214356	—	109	109	—	—	—
letrozole	record-inconclusive	CHEMBL1444	3902	tested-active	3056	3103	—	—	—
SU9516	no-precedent	CHEMBL258805	5289419	tested-active	2359	2360	—	—	—
cytarabine	no-precedent	CHEMBL803	6253	tested-active	5899	6090	—	—	—
A-438079	no-precedent	CHEMBL377219	11673921	—	386	386	—	—	—
E7820	no-precedent	CHEMBL4297376	196970	—	221	221	—	—	—
BAZ2-ICR	no-precedent	CHEMBL4296718	91654625	—	414	414	—	—	—
balapiravir	no-precedent	CHEMBL550936	11691726	—	43	43	—	—	—
NVP-DPP728	no-precedent	CHEMBL77538	9796290	—	164	164	—	—	—
fluconazole	tested-active	CHEMBL106	3365	tested-active	8880	21276	—	—	—
SB-203580	no-precedent	—	40467016	—	0	0	—	—	—
NS-8	no-precedent	CHEMBL42661	10176749	—	22	22	—	—	—
GSK2578215A	no-precedent	CHEMBL2204495	68107965	—	1769	1769	—	—	—
trelagliptin	no-precedent	CHEMBL1650443	15983988	—	223	223	—	—	—
SRPIN340	no-precedent	CHEMBL4064277	2797577	—	1179	1179	—	—	—
dazoxiben	no-precedent	CHEMBL267473	53001	—	357	357	—	—	—
VX-702	no-precedent	CHEMBL1090090	10341154	—	2278	2278	—	—	—
motesanib	no-precedent	CHEMBL572881	11667893	—	3986	3986	—	—	—
ebrotidine	no-precedent	CHEMBL1742471	65869	—	61	61	—	—	—
CS-917	no-precedent	CHEMBL495498	11289630	—	63	63	—	—	—
SKF-86002	no-precedent	CHEMBL313417	5228	—	1155	1155	—	—	—
cathepsin-inhibitor-1	no-precedent	CHEMBL564131	44224135	—	138	138	—	—	—
ABT-702	no-precedent	CHEMBL66089	1973	—	462	462	—	—	—
CHIR-98014	no-precedent	CHEMBL3185148	53396311	tested-active	385	387	—	—	—
ozanimod	no-precedent	CHEMBL3707247	52938427	record-inconclusive	308	310	—	—	—
TG-02	no-precedent	CHEMBL1944698	16739650	tested-inactive	975	977	—	—	—
bropirimine	no-precedent	CHEMBL37387	65457	—	77	77	—	—	—
pentylenetetrazol	no-precedent	CHEMBL116943	5917	—	1057	1057	—	—	—
cefotiam	no-precedent	CHEMBL1296	43708	tested-active	184	213	—	—	—
zonisamide	no-precedent	CHEMBL750	5734	tested-active	2309	2326	—	—	—
resmetirom	no-precedent	CHEMBL3261331	15981237	—	416	416	—	—	—
Ro-9187	no-precedent	CHEMBL513181	11514721	—	61	61	—	—	—
H-89	no-precedent	CHEMBL104264	449241	tested-inactive	2032	2033	—	—	—
febuxostat	no-precedent	CHEMBL1164729	134018	—	1392	1392	—	—	—
olmesartan	no-precedent	CHEMBL1516	158781	tested-inactive	855	856	—	—	—
voriconazole	tested-active	CHEMBL638	71616	tested-active	2892	6531	—	—	—
Ro-3	no-precedent	CHEMBL494772	11289644	—	85	85	—	—	—
MK-0354	no-precedent	CHEMBL456145	11159621	—	359	359	—	—	—
4-pyrimidinecarbonitrile	no-precedent	CHEMBL3352956	10313094	—	27	27	—	—	—
cilostazol	no-precedent	CHEMBL799	2754	tested-active	3694	3756	—	—	—
AZD9272	no-precedent	CHEMBL2164551	9838729	—	2009	2009	—	—	—
zuranolone	no-precedent	CHEMBL4105630	86294073	—	203	203	—	—	—
BTS-71321	no-precedent	—	9863253	—	0	0	—	—	—
BAY-60-6583	no-precedent	CHEMBL4202825	11717831	—	306	306	—	—	—
BMS-265246	no-precedent	CHEMBL310840	5329775	—	959	959	—	—	—
3-methyladenine	no-precedent	—	135398661	—	303	303	—	—	—
WAY-255348	no-precedent	CHEMBL407848	11543746	—	114	114	—	—	—
tofacitinib	no-precedent	CHEMBL221959	9926791	tested-active	4612	4615	—	—	—
ETP-45658	no-precedent	CHEMBL4303351	25229608	—	18	18	—	—	—
EPZ020411	no-precedent	CHEMBL3589039	—	—	59	59	—	—	—
ruxolitinib-_S_	no-precedent	CHEMBL1287854	50878566	—	43	43	—	—	—
luliconazole	no-precedent	CHEMBL2105689	3003141	record-inconclusive	674	676	—	—	—
topiroxostat	no-precedent	CHEMBL1078685	5288320	—	137	137	—	—	—
A-839977	no-precedent	CHEMBL1628691	53325875	—	304	304	—	—	—
SAR405	no-precedent	CHEMBL3622372	72709209	—	251	251	—	—	—
NMS-873	no-precedent	CHEMBL2311578	71521142	—	392	392	—	—	—
evobrutinib	no-precedent	CHEMBL4072833	71479709	—	394	394	—	—	—
AVN-944	no-precedent	CHEMBL3349001	9918559	—	412	412	—	—	—
ceforanide	no-precedent	CHEMBL1201046	43507	—	288	288	—	—	—
retagliptin	no-precedent	CHEMBL4297435	44193830	—	4	4	—	—	—
TC-G-1000	no-precedent	CHEMBL284795	10220232	—	43	43	—	—	—
pyrimethamine	no-precedent	CHEMBL36	4993	tested-active	6646	6697	—	—	—
C-751	no-precedent	CHEMBL4303392	99170	—	18	18	—	—	—
LUF-5834	no-precedent	CHEMBL122622	135543624	—	46	46	—	—	—
A-769662	no-precedent	CHEMBL512504	11360391	tested-inactive	760	761	—	—	—
allopurinol	no-precedent	CHEMBL1467	2094	tested-active	2381	2900	—	—	—
NS-3623	no-precedent	CHEMBL4303572	9954236	—	77	77	—	—	—
croconazole	no-precedent	CHEMBL27289	2880	tested-active	160	184	—	—	—
AZD7687	no-precedent	—	—	—	0	0	—	—	—
telratolimod	no-precedent	CHEMBL4297631	56833311	—	8	8	—	—	—
piroximone	no-precedent	CHEMBL58355	55263	—	97	97	—	—	—
taltirelin	no-precedent	CHEMBL2107016	114750	—	148	148	—	—	—
azacitidine	no-precedent	CHEMBL1489	9444	tested-active	3503	3509	—	—	—
upadacitinib	no-precedent	CHEMBL3622821	58557659	—	837	837	—	—	—
cefoselis	no-precedent	CHEMBL4303186	9830520	—	24	24	—	—	—
resiquimod	no-precedent	CHEMBL383322	159603	tested-active	605	609	—	—	—
sangivamycin	no-precedent	CHEMBL101892	14978	tested-active	319	347	—	—	—
hydralazine	no-precedent	CHEMBL276832	3637	tested-active	2231	2297	—	—	—
lesinurad	no-precedent	CHEMBL2105720	53465279	tested-inactive	497	498	—	—	—
