name	verdict	chembl_id	pubchem_cid	phenotypic	n_off_target	n_records
flutrimazole	no-precedent	CHEMBL2107430	3401	—	231	231
verinurad	no-precedent	CHEMBL3707347	54767229	—	79	79
vatalanib	no-precedent	CHEMBL101253	151194	—	3886	3886
flucloxacillin	no-precedent	CHEMBL222645	21319	tested-active	387	388
taranabant	no-precedent	CHEMBL220360	11226090	—	282	282
lersivirine	no-precedent	CHEMBL571987	16739244	—	475	475
LDN-27219	no-precedent	CHEMBL179945	1150683	—	91	91
R-1479	no-precedent	CHEMBL393857	457388	—	150	150
ravuconazole	record-inconclusive	CHEMBL294029	467825	tested-active	193	676
L-838417	no-precedent	CHEMBL373250	9908880	—	1153	1153
MRK-016	no-precedent	CHEMBL363211	6918583	tested-active	319	321
epacadostat	no-precedent	CHEMBL3545369	135564890	tested-inactive	1136	1137
olprinone	no-precedent	CHEMBL1474900	4593	—	417	417
nolatrexed	no-precedent	CHEMBL320775	108189	—	28	28
tazobactam	no-precedent	CHEMBL404	123630	tested-active	1413	1652
TC-S-7006	no-precedent	CHEMBL200381	9549300	tested-active	1126	1127
SD-0006	no-precedent	CHEMBL1090173	9865587	—	308	308
GDC-0879	no-precedent	CHEMBL525191	11717001	tested-inactive	1021	1022
apatinib	no-precedent	CHEMBL3186534	11315474	—	1040	1040
nerbacadol	no-precedent	CHEMBL2104808	65865	—	0	0
CYM-5520	no-precedent	—	25110470	—	72	72
fosfluconazole	no-precedent	CHEMBL1908301	214356	—	109	109
letrozole	record-inconclusive	CHEMBL1444	3902	tested-active	3056	3103
SU9516	no-precedent	CHEMBL258805	5289419	tested-active	2359	2360
cytarabine	no-precedent	CHEMBL803	6253	tested-active	5899	6090
A-438079	no-precedent	CHEMBL377219	11673921	—	386	386
E7820	no-precedent	CHEMBL4297376	196970	—	221	221
BAZ2-ICR	no-precedent	CHEMBL4296718	91654625	—	414	414
balapiravir	no-precedent	CHEMBL550936	11691726	—	43	43
NVP-DPP728	no-precedent	CHEMBL77538	9796290	—	164	164
fluconazole	tested-active	CHEMBL106	3365	tested-active	8880	21276
SB-203580	no-precedent	—	40467016	—	0	0
NS-8	no-precedent	CHEMBL42661	10176749	—	22	22
GSK2578215A	no-precedent	CHEMBL2204495	68107965	—	1769	1769
trelagliptin	no-precedent	CHEMBL1650443	15983988	—	223	223
SRPIN340	no-precedent	CHEMBL4064277	2797577	—	1179	1179
dazoxiben	no-precedent	CHEMBL267473	53001	—	357	357
VX-702	no-precedent	CHEMBL1090090	10341154	—	2278	2278
motesanib	no-precedent	CHEMBL572881	11667893	—	3986	3986
ebrotidine	no-precedent	CHEMBL1742471	65869	—	61	61
