name	reason
_R_-_-_-apomorphine	no aromatic nitrogen (cannot coordinate the heme iron)
_R_-_-_-rolipram	no aromatic nitrogen (cannot coordinate the heme iron)
_R_-baclofen	no aromatic nitrogen (cannot coordinate the heme iron)
_S_-___-rolipram	no aromatic nitrogen (cannot coordinate the heme iron)
__sar9_met_o2_11_-substance-p_	98 heavy atoms > 45 (outside applicability domain)
_1-__Z_-3-chloroallyl_-1_3_5_7-tetraazaadamantan-1-ium_	no aromatic nitrogen (cannot coordinate the heme iron)
_1-_1_2-diphenylethyl_piperidine-___-__	no aromatic nitrogen (cannot coordinate the heme iron)
1-_2-chloro-5-methylphenoxy_-3-_isopropylamino_-2-propanol	unparseable SMILES
1-acetyl-4-methylpiperazine	no aromatic nitrogen (cannot coordinate the heme iron)
1-deoxymannojirimycin	no aromatic nitrogen (cannot coordinate the heme iron)
1-ethyl-2-pyrrolidone	no aromatic nitrogen (cannot coordinate the heme iron)
1-hexadecanal	no aromatic nitrogen (cannot coordinate the heme iron)
1-hexadecanol	no aromatic nitrogen (cannot coordinate the heme iron)
1-octacosanol	no aromatic nitrogen (cannot coordinate the heme iron)
1-octanol	no aromatic nitrogen (cannot coordinate the heme iron)
1-phenylbiguanide	no aromatic nitrogen (cannot coordinate the heme iron)
_1_12-Besm_	no aromatic nitrogen (cannot coordinate the heme iron)
_1_2_3_4_5_6-hexabromocyclohexane_	no aromatic nitrogen (cannot coordinate the heme iron)
_1_4-butanediol_	no aromatic nitrogen (cannot coordinate the heme iron)
_1_5-dicaffeoylquinic-acid_	no aromatic nitrogen (cannot coordinate the heme iron)
10-deacetylbaccatin	no aromatic nitrogen (cannot coordinate the heme iron)
10-DEBC	no aromatic nitrogen (cannot coordinate the heme iron)
10058-F4	no aromatic nitrogen (cannot coordinate the heme iron)
12-O-tetradecanoylphorbol-13-acetate	unparseable SMILES
1400W	no aromatic nitrogen (cannot coordinate the heme iron)
_16_16-dimethylprostaglandin-e2_	no aromatic nitrogen (cannot coordinate the heme iron)
17-hydroxyprogesterone-caproate	no aromatic nitrogen (cannot coordinate the heme iron)
17-PA	no aromatic nitrogen (cannot coordinate the heme iron)
1E-1-_2-hydroxy-5-methylphenyl_-1-dodecanone-oxime	no aromatic nitrogen (cannot coordinate the heme iron)
_1S_2R-phenylpropanolamine_	no aromatic nitrogen (cannot coordinate the heme iron)
2-_1-adamantylamino_benzoic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
2-_3-mercaptopropyl_pentanedioic-acid	unparseable SMILES
_2-_chloromethyl_-5_6_7_8-tetrahydro_1_benzothieno_2_3-d_pyrimidin-4_3H_-one_	no aromatic nitrogen (cannot coordinate the heme iron)
2-aminobenzenesulfonamide	no aromatic nitrogen (cannot coordinate the heme iron)
2-APB	no aromatic nitrogen (cannot coordinate the heme iron)
2-BFI	no aromatic nitrogen (cannot coordinate the heme iron)
2-CMDO	no aromatic nitrogen (cannot coordinate the heme iron)
2-deoxy-2-__methyl_nitroso_carbamoyl_amino_hexose	unparseable SMILES
