rank	ligand	N_Fe_dist_A	vina_kcal_mol
1	flutrimazole	2.371	-8.9
2	verinurad	2.417	-7.3
3	vatalanib	2.479	-11.0
4	flucloxacillin	2.558	-7.8
5	taranabant	2.586	-10.5
6	lersivirine	2.599	-7.1
7	LDN-27219	2.603	-9.3
8	R-1479	2.621	-7.4
9	ravuconazole	2.653	-10.7
10	L-838417	2.667	-9.2
11	MRK-016	2.669	-8.9
12	epacadostat	2.674	-8.5
13	olprinone	2.680	-8.1
14	nolatrexed	2.692	-9.4
15	tazobactam	2.695	-8.0
16	TC-S-7006	2.698	-9.5
17	SD-0006	2.705	-9.8
18	GDC-0879	2.705	-8.8
19	apatinib	2.711	-10.7
20	nerbacadol	2.713	-7.6
21	CYM-5520	2.714	-9.7
22	fosfluconazole	2.717	-8.2
23	letrozole	2.719	-8.0
24	SU9516	2.723	-7.8
25	cytarabine	2.724	-7.0
26	A-438079	2.725	-8.9
27	E7820	2.730	-9.0
28	BAZ2-ICR	2.731	-8.9
29	balapiravir	2.733	-7.4
30	NVP-DPP728	2.739	-7.5
31	fluconazole	2.740	-8.2
32	SB-203580	2.740	-8.5
33	NS-8	2.748	-7.9
34	GSK2578215A	2.750	-10.6
35	trelagliptin	2.750	-8.5
36	SRPIN340	2.752	-8.7
37	dazoxiben	2.756	-7.7
38	VX-702	2.757	-10.5
39	motesanib	2.762	-10.0
40	ebrotidine	2.765	-9.6
41	CS-917	2.765	-8.1
42	SKF-86002	2.766	-9.0
43	cathepsin-inhibitor-1	2.766	-9.2
44	ABT-702	2.777	-8.9
45	CHIR-98014	2.778	-10.2
46	ozanimod	2.778	-9.8
47	TG-02	2.781	-0.9
48	bropirimine	2.781	-8.0
49	pentylenetetrazol	2.782	-5.9
50	cefotiam	2.782	-8.2
51	zonisamide	2.785	-7.2
52	resmetirom	2.786	-8.7
53	Ro-9187	2.787	-7.3
54	H-89	2.788	-9.7
55	febuxostat	2.789	-8.6
56	olmesartan	2.797	-8.9
57	voriconazole	2.799	-9.3
58	Ro-3	2.800	-8.4
59	MK-0354	2.800	-7.5
60	4-pyrimidinecarbonitrile	2.802	-4.4
61	cilostazol	2.802	-10.5
62	AZD9272	2.802	-9.4
63	zuranolone	2.802	-10.4
64	BTS-71321	2.804	-7.9
65	BAY-60-6583	2.805	-8.1
66	BMS-265246	2.806	-9.6
67	3-methyladenine	2.811	-6.0
68	WAY-255348	2.811	-8.5
69	tofacitinib	2.812	-8.7
70	ETP-45658	2.812	-9.0
71	EPZ020411	2.813	-9.6
72	ruxolitinib-_S_	2.815	-8.4
73	luliconazole	2.817	-8.1
74	topiroxostat	2.817	-8.5
75	A-839977	2.818	-10.5
76	SAR405	2.822	-9.1
77	NMS-873	2.823	-11.8
78	evobrutinib	2.824	-10.2
79	AVN-944	2.824	-10.4
80	ceforanide	2.825	-8.3
81	retagliptin	2.825	-10.9
82	TC-G-1000	2.828	-7.6
83	pyrimethamine	2.829	-7.9
84	C-751	2.829	-5.0
85	LUF-5834	2.830	-7.9
86	A-769662	2.831	-10.2
87	allopurinol	2.832	-5.6
88	NS-3623	2.834	-10.8
89	croconazole	2.838	-9.8
90	AZD7687	2.839	-10.4
91	telratolimod	2.840	-9.3
92	piroximone	2.840	-7.5
93	taltirelin	2.840	-8.8
94	azacitidine	2.841	-6.7
95	upadacitinib	2.841	-9.6
96	cefoselis	2.842	-7.4
97	resiquimod	2.842	-7.9
98	sangivamycin	2.843	-7.6
99	hydralazine	2.843	-7.5
100	lesinurad	2.844	-8.8
101	MRK-409	2.846	-9.9
102	azathioprine	2.847	-7.4
103	cefonicid	2.847	-8.9
104	Debio-0932	2.848	-8.0
105	AZD1283	2.849	-9.2
106	AZ960	2.850	-9.5
107	anastrozole	2.851	-8.2
108	rogaratinib	2.851	-7.5
109	LX7101	2.853	-8.7
110	candesartan	2.853	-8.9
111	PR-619	2.857	-5.5
112	AZD4635	2.858	-8.5
113	plurisin-1	2.858	-8.9
114	otamixaban	2.859	-11.2
115	pranlukast	2.861	-11.8
116	oltipraz	2.862	-5.9
117	tiotidine	2.862	-7.7
118	CPI-444	2.864	-10.9
119	pyrazinamide	2.864	-4.9
120	UK-5099	2.869	-9.3
121	LY2157299	2.871	-8.8
122	zidovudine	2.874	-7.4
123	TH-588	2.875	-8.7
124	ZD-7155	2.877	-9.6
125	KH-CB19	2.879	-7.7
126	ravoxertinib	2.879	-9.5
127	aminopterin	2.881	-10.7
128	tubastatin-A	2.882	-10.6
129	linopirdine	2.882	-10.5
130	irsogladine	2.887	-7.9
131	ATN-161	2.887	-8.6
132	WP921	2.890	-6.4
133	elacytarabine	2.890	-9.3
134	HA-1004	2.890	-8.2
135	GSK2256294A	2.891	-11.0
136	EMD-66684	2.892	-9.5
137	PF-05089771	2.892	-10.7
138	irbesartan	2.894	-10.9
139	nialamide	2.894	-9.0
140	clofarabine	2.897	-7.9
141	cyromazine	2.897	-6.5
142	NSC-3852	2.900	-7.7
143	vipadenant	2.900	-9.6
144	etravirine	2.900	-10.1
145	carboxylosartan	2.901	-9.0
146	TAK-659	2.902	-9.0
147	bromosporine	2.904	-8.5
148	NVP-ADW742	2.905	-11.8
149	dexmedetomidine	2.905	-7.8
150	gaboxadol	2.907	-6.0
151	SU3327	2.909	-6.4
152	ALS-8112	2.909	-7.5
153	arofylline	2.913	-9.0
154	frovatriptan	2.913	-9.0
155	PIK-293	2.915	-9.1
156	PHP-501	2.915	-10.6
157	foropafant	2.915	-8.2
158	AS-703026	2.916	-8.8
159	LY255283	2.917	-8.7
160	RKI-1447	2.918	-9.9
161	avagacestat	2.919	-11.1
162	NU-2058	2.919	-8.5
163	CNQX	2.922	-7.3
164	PHT-427	2.922	-9.0
165	fadrozole	2.923	-8.5
166	tucidinostat	2.924	-10.8
167	CJ-033466	2.925	-9.7
168	GSK163090	2.925	-11.6
169	EB-47	2.926	-12.1
170	zaprinast	2.928	-8.5
171	remodelin	2.928	-9.0
172	AR-C155858	2.929	-7.4
173	alogliptin	2.933	-8.2
174	SR-57227A	2.934	-7.4
175	sulfamerazine	2.935	-8.5
176	NU-6027	2.935	-8.3
177	AMG-487	2.936	-9.9
178	ethynylcytidine	2.936	-7.1
179	TC2559	2.937	-6.4
180	AZ191	2.939	-10.1
181	TC-Mps1-12	2.939	-9.3
182	pramipexole	2.940	-6.8
183	fasudil	2.941	-8.2
184	amezinium	2.942	-7.4
185	indalpine	2.942	-9.0
186	cefamandole	2.945	-9.1
187	tryptophan	2.947	-7.7
188	ripasudil	2.947	-8.5
