# #137 verdict-accuracy fixture -- HARVESTED, not hand-authored: called_verdict is the
#   enum echinocandin_verdict() emitted from this host's reads->call_windows pass over
#   the SAME isolates as the FKS1 concordance run. susceptibility is copied verbatim from
#   fks1_benchmark_100.tsv (the frozen R/S truth). Assembled by
#   scripts/validate_fks1_concordance.py --emit-accuracy-fixture.
isolate	species	run_acc	gene	drug_class	called_verdict	susceptibility	note	citation
B11098	Candida auris	SRR3883438	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11100	Candida auris	SRR28270965	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11118	Candida auris	SRR3883432	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11119	Candida auris	SRR3883433	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11200	Candida auris	SRR3883434	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11204	Candida auris	SRR28270964	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11205	Candida auris	SRR3883436	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11210	Candida auris	SRR3883442	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11211	Candida auris	SRR28270963	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B11212	Candida auris	SRR3883443	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11213	Candida auris	SRR3883444	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11216	Candida auris	SRR3883447	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11219	Candida auris	SRR3883451	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B11222	Candida auris	SRR3883454	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11226	Candida auris	SRR3883458	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11229	Candida auris	SRR3883462	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11243	Candida auris	SRR3883464	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11244	Candida auris	SRR3883465	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B11842	Candida auris	SRR7909141	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B12132	Candida auris	SRR28270962	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639P	PMC12323592;doi:10.1128/spectrum.03147-24
B12136	Candida auris	SRR10461137	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639P	PMC12323592;doi:10.1128/spectrum.03147-24
B12143	Candida auris	SRR28270961	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639P	PMC12323592;doi:10.1128/spectrum.03147-24
B12663	Candida auris	SRR7909222	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B12666	Candida auris	SRR7909393	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B12688	Candida auris	SRR7909409	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B13463	Candida auris	SRR10461159	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13696	Candida auris	SRR7909346	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B13741	Candida auris	SRR26666770	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
